"text","mentions","in_reply_to","created_at","url"
"much like Nielson ratings, it undercounts a number of critical platforms, like those TVs on gas pumps and Web TV users","@kenklippenstein ","tweets you see on bloomberg terminals https://t.co/qIg1cZqSIG","2023-06-08T22:06:25.000Z","https://twitter.com/AricToler/status/1666929702076907521"
"Linked earlier in the thread, but these are the messages of locals in a pro-UA Telegram group being woken up from loud blasts at ~2:18-23am. The seismographic reading was from 2:55am. 
(My time zone, in the Telegram timestamps, is 8 hours behind Kherson) https://t.co/UuuSWuiYfL","","Caveat: this detection was 20-30min after the initial reports of something going on at the dam, so it is unclear if this detection is of the actual original event that led to the dam's destruction
https://t.co/SFzt9iOu8G","2023-06-08T19:51:42.000Z","https://twitter.com/AricToler/status/1666895799349854209"
"Eliot won't be happy to hear about me rewriting history!","@RittOnTwitt75 ","@AricToler so now Aric Toler, the founder of Bellingcat, one the most effective NGOs of the last 10 years against Putin, isn't woke enough for the NAFO brigade &amp; he receives 100s of hate messages from alleged Ukraine supporters for not toeing the line on their messaging. 

Freaking absurd.","2023-06-08T19:41:19.000Z","https://twitter.com/AricToler/status/1666893183626665998"
"Caveat: this detection was 20-30min after the initial reports of something going on at the dam, so it is unclear if this detection is of the actual original event that led to the dam's destruction
https://t.co/SFzt9iOu8G","","NORSAR (Norwegian seismic detection agency, which works with both earthquakes and man-made explosions) analyzed signals from night of the dam rupture, and attributed it to an explosion
https://t.co/uUG7f6HXSw","2023-06-08T18:26:09.000Z","https://twitter.com/AricToler/status/1666874268045410307"
"I figured, but saw some speculation elsewhere that it may take much longer Thanks!","@QuentinBrissaud @kromark @adamcavalli ","@AricToler @kromark @adamcavalli The fastest seismic waves propagates at very high velocities (~6km/s). It takes these waves less than 2mn to reach Romania","2023-06-08T18:24:52.000Z","https://twitter.com/AricToler/status/1666873948380725264"
"What (if any) would be the delay in detection for the station in Romania? I see 2:54am for the time of the signal. Asking due to initial reports of the rupture / explosions being about 20-30min prior.","@QuentinBrissaud @kromark @adamcavalli ","@kromark @adamcavalli Update: Our team did finally conclude that the recorded signals showed the characteristics of an explosive source","2023-06-08T18:14:54.000Z","https://twitter.com/AricToler/status/1666871437041205265"
"NORSAR (Norwegian seismic detection agency, which works with both earthquakes and man-made explosions) analyzed signals from night of the dam rupture, and attributed it to an explosion
https://t.co/uUG7f6HXSw","","(Meta discussion: This thread is aggregating sources speaking to the origin of the dam breakage -- likely either Russian criminal negligence or an intentional Russian explosion. I have no strong opinion or expertise either way, just putting these various accounts into one place)","2023-06-08T18:11:33.000Z","https://twitter.com/AricToler/status/1666870596909555714"
"RT @christogrozev: One of @bellingcat investigations used in the ICJ case is that of RU armed forces crossing into Ukraine on the morning o…","","","2023-06-08T13:21:41.000Z","https://twitter.com/AricToler/status/1666797648060325889"
"RT @KyivIndependent: The Kyiv Independent spoke with family members of people living under Russian occupation in Oleshky and collected acco…","","","2023-06-08T02:54:54.000Z","https://twitter.com/AricToler/status/1666639910969782274"
"Didn't publish any piece, just running a thread with various experts' analysis on how the Russians caused the dam to break.","@KryvavaPastva @hergravce @bellingcat ","@AricToler @hergravce @bellingcat Yet not ahead enough to fact check with an actual engineer when published your piece. 
Doing it afterwards is like posting retraction, it won't stick with your auditory and you know it full well 
Great journalist work","2023-06-07T22:22:58.000Z","https://twitter.com/AricToler/status/1666571478429474821"
"Didn't get far enough in my Ukrainian class for that, but yes plenty of those too!","@slaventinoch @sasha_a @loogunda ","@AricToler @sasha_a @loogunda Dovboyob, not dolboyob","2023-06-07T21:43:52.000Z","https://twitter.com/AricToler/status/1666561638646837250"
"Of course it's Russia, question is method (if they set off explosives, or had criminal neglect/mismanagement of the dam)","@t_bezruk @CITeam_en ","@AricToler @CITeam_en Do you still believe this is not Russia who destroyed the dam?","2023-06-07T20:23:13.000Z","https://twitter.com/AricToler/status/1666541343529660417"
"I poorly worded the tweet, which is why I deleted it -- mother nature as in no one used an explosive, and Russian negligence of the dam led to the water destroying it after a structural failure.","@hergravce @conockrad @bellingcat ","@AricToler @conockrad @bellingcat Wait, I am curious, so what happened to Mother Nature? 🤔","2023-06-07T19:56:12.000Z","https://twitter.com/AricToler/status/1666534543447171078"
"Russia is ultimately responsible either way, but there's plenty of room for analysis on the criminal negligence vs. explosion question, and it's not pro-Russian to not be 100% certain it was an explosion (though it certainly seems more likely!)","@conockrad @hergravce @bellingcat ","@AricToler @hergravce @bellingcat Basically what we’re trying to say here is that russia wins this information warfare so far. 
And ambiguous post like yours help them.
It’s up to you what to do in your twitter account but please keep in mind that your twits could be used to shape public opinion","2023-06-07T19:52:23.000Z","https://twitter.com/AricToler/status/1666533584310509568"
"But the Telegram chat from locals getting woken up by explosions lends credence to the explosion scenario?","@hergravce @conockrad @bellingcat ","@AricToler @conockrad @bellingcat Ah, the Telegram chat, another well-known amazingly reliable source along with ""many believe""...","2023-06-07T19:43:44.000Z","https://twitter.com/AricToler/status/1666531407181561857"
